alcohol,appellation,bottle size,category,date published,designation,importer,price,taster,url,user avg rating,variety,wine_desc,wine_name,wine_points,winery
14.1%,"Napa Valley, Napa, California, US",750 ml,White,9/1/2017,Rte Blanc,,"$28,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/clif-family-2016-rte-blanc-sauvignon-blanc-napa-valley,Not rated yet [Add Your Review],Sauvignon Blanc,"Light and steely, this wine offers mild flavors that lean tropical, like pineapple and guava. Those succulently ripe layers meet stone fruit and a medium-sized body, making for an enjoyable, food-friendly experience on the palate.",Clif Family 2016 Rte Blanc Sauvignon Blanc (Napa Valley),88.0,Clif Family
13.4%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red,9/1/2017,,,"$16,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/columbia-winery-2014-cabernet-sauvignon-columbia-valley-wa,Not rated yet [Add Your Review],Cabernet Sauvignon,"Aromas of herb, black cherry, plum, black licorice and baking spice lead to generous and sweet blue-fruit flavors. Lightly tacky tannins provide support.",Columbia Winery 2014 Cabernet Sauvignon (Columbia Valley (WA)),88.0,Columbia Winery
13.3%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red,9/1/2017,Finley Vineyard,,"$35,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/cooper-garrod-2013-finley-vineyard-syrah-santa-cruz-mountains,Not rated yet [Add Your Review],"Syrah, Shiraz/Syrah","Savory black pepper and cooked blueberry show on the nose of this bottling. Cracked pepper also gives a savory touch to the sip, adding depth to the blackberry and plum flavors. The tannins are fairly sticky into the finish.",Cooper-Garrod 2013 Finley Vineyard Syrah (Santa Cruz Mountains),88.0,Cooper-Garrod
14%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White,9/1/2017,,,"$37,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/dance-2015-chardonnay-columbia-valley-wa,Not rated yet [Add Your Review],Chardonnay,"Fermented in French oak and concrete, aromas of charry toast, pear, herb, lees and spice are followed by medium-bodied fruit flavors. It comes up a bit flat on the finish.",Dance 2015 Chardonnay (Columbia Valley (WA)),88.0,Dance
14.5%,"Shenandoah Valley (CA), Sierra Foothills, California, US",750 ml,Red,9/1/2017,Estate Bottled,,"$40,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/easton-2014-estate-bottled-cabernet-sauvignon-shenandoah-valley-ca,Not rated yet [Add Your Review],Cabernet Sauvignon,"Touches of earth, new leather and sweet vermouth fill the aromas and flavors of this edgy but very enjoyable wine. It has a seeming-sweet blend of maraschino cherries, baking spices and spicy, barnyard accents.",Easton 2014 Estate Bottled Cabernet Sauvignon (Shenandoah Valley (CA)),88.0,Easton
14.2%,"Russian River Valley, Sonoma, California, US",750 ml,Red,9/1/2017,Estate Bottled,,"$55,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/fog-crest-2014-estate-bottled-pinot-noir-russian-river-valley,Not rated yet [Add Your Review],Pinot Noir,"Juicy and slightly reduced, this tightly woven wine shows layers of cranberry, citrus and tea, all wrapped within a cocoon of forested earth and medium-weight body.",Fog Crest 2014 Estate Bottled Pinot Noir (Russian River Valley),88.0,Fog Crest
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,,Santini Wines,"$35,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/gemma-2013-barolo,Not rated yet [Add Your Review],Nebbiolo,"Red berry, underbrush, baking spice and leather aromas lead the nose. This is pretty straightforward by Barolo standards, offering morello cherry and light cinnamon flavors framed in firm tannins. Drink 2019–2025.",Gemma 2013  Barolo,88.0,Gemma
14.1%,"Sonoma County, Sonoma, California, US",750 ml,Rose,9/1/2017,Alma de Cattleya Rose of,,"$20,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/alma-de-cattleya-2016-alma-de-cattleya-rose-of-pinot-noir-sonoma-county,Not rated yet [Add Your Review],Pinot Noir,"Intriguing on the nose, this bottling shows raspberry, dried orange peel and dusty, crushed slate aromas. The palate is dominated by wet river stone and chalky minerality that frame the soft pink-fruit flavors.",Alma de Cattleya 2016 Alma de Cattleya Rose of Pinot Noir (Sonoma County),88.0,Alma de Cattleya
14.3%,"Red Mountain, Columbia Valley, Washington, US",750 ml,Red,9/1/2017,Estate Grown Diplomat,,"$40,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/ambassador-vineyard-2014-estate-grown-diplomat-red-red-mountain,Not rated yet [Add Your Review],Red Blend,"Cabernet Sauvignon makes up three-quarters of this blend, with the rest Syrah (20%) and Grenache. Aromas of cedar, sawdust, vanilla, herb and medicine cabinet lead to creamy feeling fruit flavors. It brings appeal but the oak seems a bit too primary.",Ambassador Vineyard 2014 Estate Grown Diplomat Red (Red Mountain),88.0,Ambassador Vineyard
13%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Rose,9/1/2017,Dry Rosé of,,"$15,  Buy Now",Anna Lee C. Iijima,http://www.winemag.com/buying-guide/atwater-2016-dry-rose-of-cabernet-franc-finger-lakes,Not rated yet [Add Your Review],Cabernet Franc,Dusty mineral and saline aromas introduce bright puckering sour cherries and berries on the palate of this vivacious Cabernet Franc rosé. Sharp acidity and clean mineral tones accentuate its fresh angular style.,Atwater 2016 Dry Rosé of Cabernet Franc (Finger Lakes),88.0,Atwater
13%,"Saint-Chinian, Languedoc-Roussillon, France",750 ml,Red,9/1/2017,Les Terroirs,VRolland Selection,"$15,  Buy Now",Lauren Buzzeo,http://www.winemag.com/buying-guide/calmel-joseph-2014-les-terroirs-red-saint-chinian,Not rated yet [Add Your Review],Rhône-style Red Blend,"This blend of 60% Syrah, 30% Grenache and 10% Carignan is bright and fruit-driven, with rich notes of plum, cherry and boysenberry on the nose and mouth. It's medium in weight, with accessible tannins and good balance, finishing fresh and fruity, with just a subtle hint of earthy spice.",Calmel & Joseph 2014 Les Terroirs Red (Saint-Chinian),88.0,Calmel & Joseph
12%,"Languedoc, Languedoc-Roussillon, France",750 ml,Rose,9/1/2017,,Advantage International,"$10,  Buy Now",Lauren Buzzeo,http://www.winemag.com/buying-guide/carayon-la-rose-2016-rose-languedoc,Not rated yet [Add Your Review],Rosé,"A pale salmon color, this offers rich, ripe red-cherry and -berry aromas that are laced with pink peony and sweet pea floral accents. Additional notes of just-ripe peach and watermelon dance alongside bright citrusy acidity on the lightweight palate, finishing clean and mouthwatering. Drink now.",Carayon la Rose 2016 Rosé (Languedoc),88.0,Carayon la Rose
